Sysno,ZpZveřejnění,AutořiVšichni,AutořiAV,AutořiVšichniPočet,AutořiRIV,AutořiAVPočet,AutořiKorespondující,BiblCit,BiblCitZdrD,ISBN_ISSN,ISBN_ISSN_ZdrDok,ZeměZveřejnění,Jazyk,PočStran,ImpFaktor,ProjektyCEP,ProjektyOst,VýzZáměr,OrigNázev,PřekladNázvu,KlíčSlova,AnotaceOrig,AnotaceEng,AnotaceCz,KódOborRIV,Pozn,PoznProZprac,Konference,VlastníkZáznamu,VlastníkZáznamuCZ,VlastníkZáznamuANJ,OdevzdáníDoRIV,RokVydání,RokSběru,PočetCitací,DOI,UT WOS,UT SCOPUS,HANDLE,RVO,PlnýText,Int.kód,TechnickéParametry,EkonomickéParametry,NázevVlastníka,ČísloPředpisu,ČísloPatentovéhoSpisu,VlastníkPatentu,DatumUděleníPatentu,KódVydavatelePatentu,Poddruh
"0458664","J","Novák, Mirko - Faber, Z. - Votruba, Z. - Přenosil, V. - Tichý, T. - Svoboda, P. - Tatarinov, V.","Novák, Mirko","7","7","1","","Novák, Mirko; Faber, Z.; Votruba, Z.; Přenosil, V.; Tichý, T.; Svoboda, P.; Tatarinov, V. Reliability of Human Subject-Artifical System Interactions. Acta polytechnica 2002, roč. 42, č. 3, s. 31-40. ISSN 1210-2709.\\nhttps://ojs.cvut.cz/ojs/index.php/ap/article/view/352","Acta polytechnica. 2002, roč. 42, č. 3, s. 31-40","","1210-2709","CZ","eng","","","","","","Reliability of Human Subject-Artifical System Interactions","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","2002","","","","","","http://hdl.handle.net/11104/0258908","","0;1","","","","","","","","","",""
"0448146","J","Amari, S. - Beltrame, F. - Bjaalie, J.G. - Dalkara, T. - de Schutter, E. - Egan, G.F. - Goddard, N.H. - Gonzalez, C. - Grillner, S. - Herz, A. - Hoffmann, K.P. - Jaaskelainen, I.P. - Koslow, S.H. - Lee Seung-Soo, S. - Matthiessen, L. - Miller, P.L. - da Silva, F.M. - Novák, Mirko - Ravindranath, V. - Ritz, R. - Ruotsalainen, U. - Šebesta, Václav - Subramanian, S. - Tang, Y. - Toga, A.W. - Usui, S. - van Pelt, J. - Verschure, P. - Willshaw, D. - Wrobel, A.","Novák, Mirko - Šebesta, Václav","30","30","2","","Amari, S.; Beltrame, F.; Bjaalie, J.G.; Dalkara, T.; de Schutter, E.; Egan, G.F.; Goddard, N.H.; Gonzalez, C.; Grillner, S.; Herz, A.; Hoffmann, K.P.; Jaaskelainen, I.P.; Koslow, S.H.; Lee Seung-Soo, S.; Matthiessen, L.; Miller, P.L.; da Silva, F.M.; Novák, Mirko; Ravindranath, V.; Ritz, R.; Ruotsalainen, U.; Šebesta, Václav; Subramanian, S.; Tang, Y.; Toga, A.W.; Usui, S.; van Pelt, J.; Verschure, P.; Willshaw, D.; Wrobel, A. Neuroinformatics: The Integration of Shared Databases and Tools Towards Integrative Neuroscience. Journal of Integrative Neuroscience 2002, roč. 1, č. 2, s. 117-128. ISSN 0219-6352.","Journal of Integrative Neuroscience. 2002, roč. 1, č. 2, s. 117-128","","0219-6352","GB","eng","","","","","","Neuroinformatics: The Integration of Shared Databases and Tools Towards Integrative Neuroscience","","","","","","","","dodatečně evidované kvůli bibliografii","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","2002","2016","49","10.1142/S0219635202000128","","2-s2.0-12144288737","http://hdl.handle.net/11104/0249869","","","","","","","","","","","",""
"0434154","M","Font, J.M. - Hájek, Petr","Hájek, Petr","2","2","1","","Font, J.M.; Hájek, Petr. Lukasiewicz and Modal Logic. In Between Words and Worlds. A Festschrift for Pavel Materna Prague: Filosofia, 2000, s. 184-198. ISBN 80-7007-140-0.","In Between Words and Worlds. A Festschrift for Pavel Materna. Prague: Filosofia, 2000, s. 184-198","","80-7007-140-0","CZ","eng","15","","","","","Lukasiewicz and Modal Logic","","","","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","2000","2015","","","","","http://hdl.handle.net/11104/0238289","","","","","","","","","","","",""
"0411441","J","Vajda, Igor - Veselý, Arnošt - Zvárová, Jana","Vajda, Igor - Veselý, Arnošt - Zvárová, Jana","3","3","3","","Vajda, Igor; Veselý, Arnošt; Zvárová, Jana. On the amount of information resulting from empirical and theoretical knowledge. Revista Mathématica Complutense 2005, roč. 18, č. 2, s. 275-283. ISSN 1139-1138.","Revista Mathématica Complutense. 2005, roč. 18, č. 2, s. 275-283","","1139-1138","ES","eng","9","","LN00B107:GA MŠk - 1M0572:GA MŠk","","CEZ:AV0Z10750506","On the amount of information resulting from empirical and theoretical knowledge","O množství informace obsažené v teoretické a empirické znalosti","ontology - knowledge area - empirical knowledge - amount of information","A mathematical model consisting of a set of predicates and a given ontology is introduced, allowing a rigorous definition of the concepts of theoretical and empirical knowledge. Further, the classical information divergence is used to define the amount of information in empirical and theoretical knowledge. The information in theoretical knowledge is an extension of the well known ""semantic information"" formerly introduced by Carnap and Bar Hillel.","","Zavádí se znalostní model sestávající z množiny predikátů a určité ontologie, který umožňuje rigorózní definici teoretické a empirické znalosti. Na základě klasické informační divergence se pak definuje množství informace v teoretické a empirické znalosti. Následují příklady a důkaz, že informace v teoretické znalosti je zobecněním známé ""sémantické informace"" zavedené Carnapem a Bar Hillelem.","BA","","cena05","","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","1","2005","2006","","","","","http://hdl.handle.net/11104/0131522","","","","","","","","","","","",""
"0410494","J","Darbellay, Georges A. - Sláma, Marek","Darbellay, Georges A. - Sláma, Marek","2","2","2","","Darbellay, Georges A.; Sláma, Marek. Forecasting the short-term demand for electricity. Do neural networks stand a better chance?. International Journal of Forecasting 2000, roč. 16, č. 1, s. 71-83. ISSN 0169-2070.","International Journal of Forecasting. 2000, roč. 16, č. 1, s. 71-83","","0169-2070","NL","eng","13","0.677","GA102/95/1311:GA ČR","","AV0Z1075907","Forecasting the short-term demand for electricity. Do neural networks stand a better chance?","","","We address a problem faced by every supplier of electricity, i.e. forecasting the short-term electricity consumption. The introduction of new techniques has often been justifed by invoking the nonlinearity of the problem. First, we introduce a nonlinear measure of statistical dependence. Second, we analyse the linear and the nonlinear autocorrelation functions of the Czech electric comsumption. Third, we compare the predictions of nonlinear models with linear models.","","","BB","","","","UTIA-B","Ústav teorie informace a automatizace AV ČR, v. v. i.","Institute of Information Theory and Automation of the ASCR, v. v. i.","1","2000","","","","","","http://hdl.handle.net/11104/0130583","","","","","","","","","","","",""
"0405684","J","Fialová, D. - Topinková, E. - Gambassi, G. - Finne-Soveri, H. - Jónsson, P. - Carpenter, I. - Schroll, M. - Onder, G. - Sorbye, L.W. - Wagner, C. - Reissigová, Jindra - Bernabei, R.","Reissigová, Jindra","12","12","1","","Fialová, D.; Topinková, E.; Gambassi, G.; Finne-Soveri, H.; Jónsson, P.; Carpenter, I.; Schroll, M.; Onder, G.; Sorbye, L.W.; Wagner, C.; Reissigová, Jindra; Bernabei, R. Potentially Inappropriate Medication Use Among Elderly Home Care Patients in Europe. Jama-Journal of the American Medical Association 2005, roč. 293, č. 11, s. 1348-1358. ISSN 0098-7484.\\nhttp://jama.ama-assn.org/cgi/content/abstract/293/11/1348","Jama-Journal of the American Medical Association. 2005, roč. 293, č. 11, s. 1348-1358","","0098-7484","US","eng","11","23.332","","","CEZ:AV0Z10300504","Potentially Inappropriate Medication Use Among Elderly Home Care Patients in Europe","Potenciálně nevhodné užívání léků u starších pacientů s poskytovanou domácí péčí v Evropě","potentially inappropriate medication - prevalence - independent correlates","The aim was to estimate the prevalence and associated factors of potentially inappropriate medication use among elderly home care patients in European countries in 2001-2002. A total of 2707 elderly patients were enrolled in metropolitan areas (retrospective cross-sectional study). Substantial differences in potentially inappropriate medication were found among European countries and might be a consequence of different regulatory measures, clinical practices, or inequalities in socioeconomic background.","","Cílem bylo odhadnout prevalenci potenciálně nevhodných léků a s nimi asociované faktory u starších pacientů z evropských zemí v letech 2000-2002, kterěm byla poskytována domácí péče. Do studie bylo zaregistrováno 2707 pacientů z velkoměst (retrospektivní průřezová studie). Mezi evropskými zeměmi byly zjištěny podstatné rozdíly v prevalenci potenciálně nevhodných léčiv, což může být následek rozdílných regulačních opatření, klinické praxe nebo sociálněekonomických rozdílů.","FQ","","cena06","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2005","2006","258","10.1001/jama.293.11.1348","wos:000227698600023","","http://hdl.handle.net/11104/0125820","","","","","","","","","","","",""
"0405678","G","Wiedermann, Jiří - Tel, G. - Pokorný, J. - Bieliková, M. - Štuller, Július","Wiedermann, Jiří - Štuller, Július","5","5","2","","Wiedermann, Jiří. (ed.); Tel, G. (ed.); Pokorný, J. (ed.); Bieliková, M. (ed.); Štuller, Július. (ed.). SOFSEM 2006: Theory and Practice of Computer Science Berlin: Springer Verlag, 2006. 576 s. Lecture Notes in Computer Science, 3831. ISBN 3-540-31198-X.","","3-540-31198-X","","DE","eng","576","","1ET100300419:GA AV ČR","","CEZ:AV0Z10300504","SOFSEM 2006: Theory and Practice of Computer Science","SOFSEM 2006: Současné trendy v teorii a praxi Computer Science","computer science theory - wireless - mobile - ad hoc and sensor networks - database technologies - semantic web technologies","International conference SOFSEM 2006 is the 32-nd conference in the series of annual conferences devoted to the theory and practice of computer science. Current trends are reviewed especially in the field of theoretical fundamentals, wireless, mobile, ad hoc and sensory networks, and database and semantic web technologie. The proceedings of the conference edited by J. Wiedermann, G. Tel, J. Pokorny, M. Bielikova, and J. Stuller appear as Vol. 3831 in the series Lecture Notes in Computer Science, Springer 2006.","","SOFSEM (SOFtwarový SEMinář) je pětidenní mezinárodní konference zaměřená na teoretické a praktické problémy informatiky. Jejím cílem je podporovat spolupráci mezi odborníky z akademických a aplikačních sfér pracujících v různých oblastech informatiky. Program SOFSEMu je tvořen řadou zvaných přednášek přednesených význačnými odborníky a badateli, standardních příspěvků vybraných programovým výborem ze submitovaných článků, Poster sekci prezentující probíhající výzkum a Studentského výzkumného fora.","IN","","","SOFSEM 2006. Conference on Current Trends in Theory and Practice of Computer Science /32./. Měřín (CZ), 21.01.2006-27.01.2006","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","2006","2007","","10.1007/11611257","","2-s2.0-33745648694","http://hdl.handle.net/11104/0125818","","","","","","","","","","","",""
"0405669","H","Zvárová, Jana - Přečková, Petra","Zvárová, Jana - Přečková, Petra","2","2","2","","Zvárová, Jana (ed.); Přečková, Petra (ed.). Sdílení informací o zdraví Praha: EuroMISE, 2005. 113 s. ISBN 80-903431-2-0.","","80-903431-2-0","","CZ","eng","113","","1ET200300413:GA AV ČR","","CEZ:AV0Z10300504","Sdílení informací o zdraví","","information society - healthcare - standards","","","","BD","","","Seminář Sdílení informací o zdraví. Praha (CZ), 01.12.2005","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","2005","2006","","","","","http://hdl.handle.net/11104/0125809","","","","","","","","","","","",""
"0405665","C","Húsek, Dušan - Řezanková, H. - Snášel, Václav - Frolov, A. A. - Polyakov, P.Y.","Húsek, Dušan - Snášel, Václav","5","5","2","","Húsek, Dušan; Řezanková, H.; Snášel, Václav; Frolov, A. A.; Polyakov, P.Y. Neural Network Nonlinear Factor Analysis of High Dimensional Binary Signal. In Chbeir, R.; Dipanda, A.; Vétongnon, K. (ed.). Signal & Image Technology and Internet Based Systems IEEE, 2005, s. 86-89. ISBN 2-9525435-0. [IEEE SITIS 2005. International Conference on Signal & Image Technology and Internet Based Systems /1./, Yaoundé, 27.11.2005-01.12.2005, CM].","In Chbeir, R.; Dipanda, A.; Vétongnon, K. (ed.). Signal & Image Technology and Internet Based Systems. IEEE, 2005, s. 86-89","","2-9525435-0","US","eng","4","","1M0567:GA MŠk - 1M0554:GA MŠk","","","Neural Network Nonlinear Factor Analysis of High Dimensional Binary Signal","Booleovská faktorová analýza signálu velké dimenze pomocí neuronové sítě","neural networks - associative memory - Boolean factor analysis - text mining","Possible application of a new neural network suitable for binary factorization of signals of large dimension and complexity is introduced. We developed the new recall procedure of Hoppfield-like associative memory which allows search all attractors corresponding to factors (a true attractor). Necessary separation of spurious attractors is based on calculation of their Lyapunov function. Being applied to textual data the procedure allows to reveal groups of highly correlated words (factors) which frequently occur in documents jointly and represent topics of that documents.","","Presentována je nová procedura vhodná pro booleovskou faktorovou analýzu signálu velké dimenze a složitosti založená na vyhledávání atraktorů v asociativní paměti Hopfieldova typu. V proceduře síť relaxuje z náhodně zvoleného počátečního stavu a její aktivita se stabilizuje v atraktoru, který odpovídá jednomu z faktorů (pravý atraktor) nebo jednomu ze nepravých atraktorů. Rozlišení pravých a lživých atraktorů je založeno na srovnání hodnot jejich Lyapunových funkcí. Aplikaci tohoto booleovského faktorového analyzátoru na textová data umožnilo nalezení skupin silně korelovaných slov (faktorů), které se často objevují v textu dokumentu spolu a vypovídají tudíž o tématickému zaměření příslušných dokumentů.","BA","","","IEEE SITIS 2005. International Conference on Signal & Image Technology and Internet Based Systems /1./. Yaoundé (CM), 27.11.2005-01.12.2005","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2005","2006","1","","","2-s2.0-44649183419","http://hdl.handle.net/11104/0125805","","","","","","","","","","","",""
"0405663","J","Krause, M. - Savický, Petr - Wegener, I.","Savický, Petr","3","3","1","","Krause, M.; Savický, Petr; Wegener, I. On the Influence of the Variable Ordering for Algorithmic Learning using OBDDs. Information and Computation and Information and Control 2005, roč. 201, č. 2, s. 160-177. ISSN 0890-5401.","Information and Computation and Information and Control. 2005, roč. 201, č. 2, s. 160-177","","0890-5401","US","eng","18","1.053","GA201/98/0717:GA ČR","","CEZ:AV0Z10300504","On the Influence of the Variable Ordering for Algorithmic Learning using OBDDs","Vliv uspořádání proměnných na algoritmické učení pomocí OBDD","OBDD - variable ordering - algorithmic learning","OBDDs with a fixed variable ordering are used successfully as data structure in experiments with learning heuristics based on examples. In this paper, it is shown that, for some functions, it is necessary to develop an algorithm to learn also a good OBDD variable ordering. There are functions with the following properties. They have OBDDs of linear size for optimal variable orderings. But for all but a small fraction of all variable orderings one needs large size to represent a list of randomly chosen examples. These properties are shown for simple functions like the multiplexer and the inner product.","","OBDD s pevně zvoleným uspořádáním proměnných jsou úspěšně používány jako datová struktura v experimentech s heuristikami na učení na základě příkladů. V tomto článku je ukázáno, že pro některé funkce je potřeba vyvinout také algoritmus pro nalezení dobrého uspořádání proměnných. Existují funkce s následujícími vlastnostmi. Mají OBDD lineární velikosti pro optimální uspořádání proměnných. Na druhé straně, pro převážnou většinu uspořádání proměnných je nezbytné veliké OBDD pro reprezentaci seznamu náhodně vybraných příkladů. Tyto vlastnosti jsou dokázány pro funkce multiplexoru a vnitřního součinu.","BA","","cena06","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2005","2006","","10.1016/j.ic.2005.05.004","wos:000231887700002","2-s2.0-24144453413","http://hdl.handle.net/11104/0125803","","","","","","","","","","","",""
