Sysno,ZpZveřejnění,AutořiVšichni,AutořiAV,AutořiVšichniPočet,AutořiRIV,AutořiAVPočet,AutořiKorespondující,BiblCit,BiblCitZdrD,ISBN_ISSN,ISBN_ISSN_ZdrDok,ZeměZveřejnění,Jazyk,PočStran,ImpFaktor,ProjektyCEP,ProjektyOst,VýzZáměr,OrigNázev,PřekladNázvu,KlíčSlova,AnotaceOrig,AnotaceEng,AnotaceCz,KódOborRIV,Pozn,PoznProZprac,Konference,VlastníkZáznamu,VlastníkZáznamuCZ,VlastníkZáznamuANJ,OdevzdáníDoRIV,RokVydání,RokSběru,PočetCitací,DOI,UT WOS,UT SCOPUS,HANDLE,RVO,PlnýText,Int.kód,TechnickéParametry,EkonomickéParametry,NázevVlastníka,ČísloPředpisu,ČísloPatentovéhoSpisu,VlastníkPatentu,DatumUděleníPatentu,KódVydavatelePatentu,Poddruh
"0473978","C","Kuřátko, Jan - Ratschan, Stefan","Kuřátko, Jan - Ratschan, Stefan","2","2","2","","Kuřátko, Jan; Ratschan, Stefan. Falsification of Hybrid Dynamical Systems Using Global Optimization Techniques. In Casado, L.G.; García, I.; Hendrix, E.M.T. (ed.). Proceedings of the XII Global Optimization Workshop Mathematical and Applied Global Optimization Almería: Universidad de Almerí­a, 2014, s. 133-136. ISBN 978-84-16027-57-6. [MAGO 2014. Global Optimization Workshop on Mathematical And Applied Global Optimization /12./, Málaga, 01.09.2014-04.09.2014, ES].","In Casado, L.G.; García, I.; Hendrix, E.M.T. (ed.). Proceedings of the XII Global Optimization Workshop Mathematical and Applied Global Optimization. Almería: Universidad de Almerí­a, 2014, s. 133-136","","978-84-16027-57-6","ES","eng","","","GCP202/12/J060:GA ČR","","","Falsification of Hybrid Dynamical Systems Using Global Optimization Techniques","","hybrid dynamical systems - global optimization","A hybrid dynamical system is a dynamical system that shows both continuous and discrete state and behavior. In our talk we will discuss the usage of global optimization techniques for solving the problem of finding a trajectory that leaves a given set of states considered to be safe. Unlike other known methods, we do not restrict our search to trajectories of a certain bounded length. The algorithm combines local with global search for achieving both efficiency and global convergence, and exploits derivatives for efficient computation.","","","","","","MAGO 2014. Global Optimization Workshop on Mathematical And Applied Global Optimization /12./. Málaga (ES), 01.09.2014-04.09.2014","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2014","2018","","","","","http://hdl.handle.net/11104/0271076","RVO:67985807","0","","","","","","","","","",""
"0473964","J","Kůrková, Věra - Sanguineti, M.","Kůrková, Věra","2","2","1","","Kůrková, Věra; Sanguineti, M. Probabilistic Lower Bounds for Approximation by Shallow Perceptron Networks. Neural Networks 2017, -, Available online 19 April. ISSN 0893-6080.","Neural Networks. 2017, -, Available online 19 April","","0893-6080","GB","eng","","3.216","GA15-18108S:GA ČR","","","Probabilistic Lower Bounds for Approximation by Shallow Perceptron Networks","","shallow networks - perceptrons - model complexity - lower bounds on approximation rates - Chernoff-Hoeffding bounds","Limitations of approximation capabilities of shallow perceptron networks are investigated. Lower bounds on approximation errors are derived for binary-valued functions on finite domains. It is proven that unless the number of network units is sufficiently large (larger than any polynomial of the logarithm of the size of the domain) a good approximation cannot be achieved for almost any uniformly randomly chosen function on a given domain. The results are obtained by combining probabilistic Chernoff-Hoeffing bounds with estimates of the sizes of sets of functions exactly computable by shallow networks with increasing numbers of units.","","","IN","","inprint online","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","10.1016/j.neunet.2017.04.003","","","http://hdl.handle.net/11104/0271067","RVO:67985807","","","","","","","","","","",""
"0473776","J","Brabec, Marek - Daniel, M. - Malý, Marek - Danielová, V. - Kříž, B. - Kott, I. - Beneš, Č.","Brabec, Marek - Malý, Marek","7","7","2","Malý, Marek","Brabec, Marek; Daniel, M.; Malý, Marek; Danielová, V.; Kříž, B.; Kott, I.; Beneš, Č. Analysis of meteorological effects on the incidence of tick-borne encephalitis in the Czech Republic over a thirty-year period. Virology: Research & Reviews 2017, online March 13. ISSN 2514-4138.\\nhttps://oatext.com/Analysis-of-meteorological-effects-on-the-incidence-of-tick-borne-encephalitis-in-the-Czech-Republic-over-a-thirty-year-period.php#Article","Virology: Research & Reviews. 2017, online March 13","","2514-4138","GB","eng","8","","","NT11425:GA MZd","","Analysis of meteorological effects on the incidence of tick-borne encephalitis in the Czech Republic over a thirty-year period","","tick-borne encephalitis incidence - Ixodes ricinus - ambient temperature - poisson model - generalized additive model - seasonal trends","The goal is to analyse the effect of climatic factors on the incidence of tick-borne encephalitis (TBE) in three adjacent, high-incidence regions of the Czech Republic (CZ) that differed considerably in the baseline incidence and in the timing of high incidence period. The basis for the analysis were the meteorological data from a 30-year database (1982-2011) of daily air temperature and precipitation measurements and time-matched reports of TBE cases defined by the onset of symptoms. A semi-parametric Poisson regression model revealed a statistically significant relationship between the average daily ambient air temperature and incidence of TBE. The shapes of the dependence were similar in all three regions under study. The analysis of the available data did not show a statistically significant relationship between the precipitation amount and incidence of TBE. Other statistically significant predictors were the trend over calendar years, monthly seasonality and trend-seasonality interaction (the shape of the monthly seasonality varies over years), and day of week. The climate changes had differentiated effects on TBE increase depending on the local environmental conditions as can be illustrated by the variations between the three regions not only in the TBE incidence level but also in the shape of the trend over years.","","","","","inprint online nefunčniDOI  10.15761/VRR.1000103","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","","","","http://hdl.handle.net/11104/0270914","RVO:67985807","","","","","","","","","","",""
"0473725","J","Patti, G. - Lucerna, M. - Cavallari, F. - Ricottini, E. - Renda, G. - Pecen, Ladislav - Romeo, F. - Le Heuzey, J.Y. - Zamorano, J. - Kirchhof, P. - De Caterina, R.","Pecen, Ladislav","11","11","1","","Patti, G.; Lucerna, M.; Cavallari, F.; Ricottini, E.; Renda, G.; Pecen, Ladislav; Romeo, F.; Le Heuzey, J.Y.; Zamorano, J.; Kirchhof, P.; De Caterina, R. Insulin-Requiring Versus Noninsulin-Requiring Diabetes and Thromboembolic Risk in Patients With Atrial Fibrillation: PREFER in AF. Journal of the American College of Cardiology 2017, roč. 69, č. 4, s. 409-419. ISSN 0735-1097.","Journal of the American College of Cardiology. 2017, roč. 69, č. 4, s. 409-419","","0735-1097","","eng","11","17.759","","","","Insulin-Requiring Versus Noninsulin-Requiring Diabetes and Thromboembolic Risk in Patients With Atrial Fibrillation: PREFER in AF","","CHA2DS2-VASc score - registry - risk prediction - stroke - systemic embolism","Background Diabetes is a known risk predictor for thromboembolic events in patients with atrial fibrillation (AF), but no study has explored the prognostic weight of insulin in this setting. Objectives This study evaluated the differential role of insulin versus no insulin therapy on thromboembolic risk in patients with diabetes and AF. Methods We accessed individual patient data from the prospective, real-world, multicenter, PREFER in AF (European Prevention of thromboembolic events-European Registry in Atrial Fibrillation). We compared the rates of stroke/systemic embolism at 1 year according to diabetes status (no diabetes, diabetes without insulin therapy, diabetes on insulin therapy). Results In an overall population of 5,717 patients, 1,288 had diabetes, 22.4% of whom were on insulin. For patients with diabetes who were on insulin, there was a significantly increased risk of stroke/systemic embolism at 1 year versus either no diabetes (5.2% vs. 1.9%; hazard ratio: 2.89; 95% confidence interval: 1.67 to 5.02; p = 0.0002) or diabetes without insulin treatment (5.2% vs. 1.8%; hazard ratio: 2.96; 95% confidence interval: 1.49 to 5.87; p = 0.0019). Notably, rates of stroke/embolism were similar in patients with diabetes not receiving insulin versus patients without diabetes (hazard ratio: 0.97; 95% confidence interval: 0.58 to 1.61; p = 0.90). The selective predictive role of insulin-requiring diabetes was independent of potential confounders, including diabetes duration, and was maintained in various subpopulations, including the subgroup receiving anticoagulant therapy. Conclusions In this cohort of anticoagulated patients with AF, the sole presence of diabetes not requiring insulin did not imply an increased thromboembolic risk. Conversely, insulin-requiring diabetes contributed most, if not exclusively, to the overall increase of thromboembolic risk in AF","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","10.1016/j.jacc.2016.10.069","wos:000392994500007","2-s2.0-85010341421","http://hdl.handle.net/11104/0270876","RVO:67985807","0","","","","","","","","","",""
"0473724","J","Csikvári, P. - Frenkel, E. - Hladký, Jan - Hubai, T.","Hladký, Jan","4","4","1","Hladký, Jan","Csikvári, P.; Frenkel, E.; Hladký, Jan; Hubai, T. Chromatic roots and limits of dense graphs. Discrete Mathematics 2017, roč. 340, č. 5, s. 1129-1135. ISSN 0012-365X.","Discrete Mathematics. 2017, roč. 340, č. 5, s. 1129-1135","","0012-365X","NL","eng","","0.600","","","","Chromatic roots and limits of dense graphs","","chromatic root - graph limit - holomorphic moment","n this short note we observe that recent results of Abért and Hubai and of Csikvári and Frenkel about Benjamini-Schramm continuity of the holomorphic moments of the roots of the chromatic polynomial extend to the theory of dense graph sequences. We offer a number of problems and conjectures motivated by this observation.","","","BA","","inprint *** dopsat podporu The first two authors are partially supported by ERC Consolidator Grant 648017. The first, second and fourth author is partially supported by MTA Rényi ‘‘Lendület’’ Groups and Graphs Research Group, and by the Hungarian National Research, Development and Innovation Office – NKFIH, OTKA grant no. K109684, and also K104206 for the second author.","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","10.1016/j.disc.2016.11.009","","2-s2.0-85007556889","http://hdl.handle.net/11104/0270871","RVO:67985807","0","","","","","","","","","",""
"0473721","J","Hlinka, Jaroslav - Hartman, David - Jajcay, Nikola - Tomeček, David - Tintěra, J. - Paluš, Milan","Hlinka, Jaroslav - Hartman, David - Jajcay, Nikola - Tomeček, David - Paluš, Milan","6","6","5","","Hlinka, Jaroslav; Hartman, David; Jajcay, Nikola; Tomeček, David; Tintěra, J.; Paluš, Milan. Small-world bias of correlation networks: From brain to climate. Chaos 2017, roč. 27, č. 3, č. článku 035812. ISSN 1054-1500.","Chaos. 2017, roč. 27, č. 3, č. článku 035812","","1054-1500","US","eng","11","2.049","GA13-23940S:GA ČR","LO1611:GA MŠk:CZ","","Small-world bias of correlation networks: From brain to climate","","","Complex systems are commonly characterized by the properties of their graph representation. Dynamical complex systems are then typically represented by a graph of temporal dependencies between time series of state variables of their subunits. It has been shown recently that graphs constructed in this way tend to have relatively clustered structure, potentially leading to spurious detection of small-world properties even in the case of systems with no or randomly distributed true interactions. However, the strength of this bias depends heavily on a range of parameters and its relevance for real-world data has not yet been established. In this work, we assess the relevance of the bias using two examples of multivariate time series recorded in natural complex systems. The first is the time series of local brain activity as measured by functional magnetic resonance imaging in resting healthy human subjects, and the second is the time series of average monthly surface air temperature coming from a large reanalysis of climatological data over the period 1948–2012. In both cases, the clustering in the thresholded correlation graph is substantially higher compared with a realization of a density-matched random graph, while the shortest paths are relatively short, showing thus distinguishing features of small-world structure. However, comparable or even stronger small-world properties were reproduced in correlation graphs of model processes with randomly scrambled interconnections. This suggests that the small-world properties of the correlation matrices of these real-world systems indeed do not reflect genuinely the properties of the underlying interaction structure, but rather result from the inherent properties of correlation matrix.","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","10.1063/1.4977951","","2-s2.0-85015619793","http://hdl.handle.net/11104/0270867","RVO:67985807","0","","","","","","","","","",""
"0473720","J","Hlinka, Jaroslav - Jajcay, Nikola - Hartman, David - Paluš, Milan","Hlinka, Jaroslav - Jajcay, Nikola - Hartman, David - Paluš, Milan","4","4","4","","Hlinka, Jaroslav; Jajcay, Nikola; Hartman, David; Paluš, Milan. Smooth information flow in temperature climate network reflects mass transport. Chaos 2017, roč. 27, č. 3, č. článku 035811. ISSN 1054-1500.","Chaos. 2017, roč. 27, č. 3, č. článku 035811","","1054-1500","US","eng","7","2.049","GCP103/11/J068:GA ČR - LH14001:GA MŠk","","","Smooth information flow in temperature climate network reflects mass transport","","","A directed climate network is constructed by Granger causality analysis of air temperature time series from a regular grid covering the whole Earth. Using winner-takes-all network thresholding approach, a structure of a smooth information flow is revealed, hidden to previous studies. The relevance of this observation is confirmed by comparison with the air mass transfer defined by the wind field. Their close relation illustrates that although the information transferred due to the causal influence is not a physical quantity, the information transfer is tied to the transfer of mass and energy.","","","","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","10.1063/1.4978028","","2-s2.0-85015168278","http://hdl.handle.net/11104/0270866","RVO:67985807","0","","","","","","","","","",""
"0473672","J","Španiel, F. - Bakstein, E. - Anýž, J. - Hlinka, Jaroslav - Sieger, T. - Hrdlička, J. - Görnerová, N. - Höschl, C.","Hlinka, Jaroslav","8","8","1","","Španiel, F.; Bakstein, E.; Anýž, J.; Hlinka, Jaroslav; Sieger, T.; Hrdlička, J.; Görnerová, N.; Höschl, C. Relapse in Schizophrenia: Definitively not a Bolt from the Blue. Neuroscience Letters 2017, Available online 22 April 2016. ISSN 0304-3940.","Neuroscience Letters. 2017, Available online 22 April 2016","","0304-3940","IE","eng","","2.107","","NT14387:GA MZd:CZ","","Relapse in Schizophrenia: Definitively not a Bolt from the Blue","","schizophrenia - early warning signs - relapse - prevention - telemedicine - information technology","Background: Detailed study of the period before schizophrenic relapse when early warning signs (EWS) are present is crucial to effective pre-emptive strategies. Aims: To investigate the temporal properties of EWS self-reported weekly via a telemedicine system. Method: EWS history was obtained for 61 relapses resulting in hospitalization involving 51 patients with schizophrenia. Up to 20 weeks of EWS history per case were evaluated using a non-parametric bootstraptest and generalized mixed-effects model to test the significance and homogeneity of the findings. Results: A statistically significant increase in EWS sum score was detectable 5 weeks before hospitalization. However, analysis of EWS dynamics revealed a gradual, monotonic increase in EWS score acrossduring the 8 weeks before a relapse. Conclusions: The findings - in contrast to earlier studies - suggest that relapse is preceded by a lengthy period during which pathophysiological processes unfold; these changes are reflected in subjective EWS.","","","FL","","inprint online","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","10.1016/j.neulet.2016.04.044","","","http://hdl.handle.net/11104/0270803","RVO:67985807","","","","","","","","","","",""
"0473671","J","Vančura, V. - Wichterle, D. - Ulč, I. - Šmíd, J. - Brabec, Marek - Zárybnická, M. - Rokyta, R.","Brabec, Marek","7","7","1","","Vančura, V.; Wichterle, D.; Ulč, I.; Šmíd, J.; Brabec, Marek; Zárybnická, M.; Rokyta, R. The Variability of Automated QRS Duration Measurement. Europace 2017, published online February 18 2016. ISSN 1099-5129.","Europace. 2017, published online February 18 2016","","1099-5129","","eng","","4.021","","","","The Variability of Automated QRS Duration Measurement","","ECG - QRS complex - automated measurement","Aims: Previous studies have demonstrated substantial variability in manual assessment of QRS complex duration (QRSd). Disagreements in QRSd measurements were also found in several automated algorithms tested on digitized electrocardiogram (ECG) recordings. The aim of our study was to investigate the variability of automated QRSd measurements performed by two commercially available electrocardiographs. Methods and results: Two GE MAC 5000 (GE-1 and GE-2) electrocardiographs and two Mortara ELI 350 (Mortara-1 and Mortara-2) electrocardiographs were used in the study. Participants for the study were recruited from patients hospitalized in the department of cardiology of a university hospital. Participants underwent up to four recording sessions within a single day with a different electrocardiograph at each session when two to four immediately successive ECG recordings were undertaken. In 76 patients, 683 ECGs were recorded; the mean QRSd was 109.0 +/- 26.1 ms. The QRSd difference >= 10 ms between the first and second intra-session ECG was found in 7, 3, 20, and 14% of ECG pairs for GE-1, GE-2, Mortara-1, and Mortara-2, respectively. No inter-session difference in QRSd was found within both manufacturers. In individual patients, Mortara calculated the mean QRSd to be longer by 7.3 ms (95% CI: 6.2–8.5 ms, P < 0.0001) with a 2.1-times (95% CI: 1.9–2.4) greater standard deviation of the mean QRSd (7.1 vs. 3.3 ms, P < 0.001). Conclusion: Electrocardiographs from two manufacturers measured QRSd values with a systematic difference and a significantly different level of precision. This may have important clinical implications in selection of suitable candidates for cardiac resynchronization therapy.","","","FA","","inprint online","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","10.1093/europace/euw015","","","http://hdl.handle.net/11104/0270802","RVO:67985807","","","","","","","","","","",""
"0473670","J","Kopal, Jiří - Rozložník, Miroslav - Tůma, Miroslav","Kopal, Jiří - Rozložník, Miroslav - Tůma, Miroslav","3","3","3","","Kopal, Jiří; Rozložník, Miroslav; Tůma, Miroslav. An Adaptive Multilevel Factorized Sparse Approximate Inverse Preconditioning. Advances in Engineering Software 2017, Available online 10 October 2016. ISSN 0965-9978.","Advances in Engineering Software. 2017, Available online 10 October 2016","","0965-9978","NL","eng","","1.673","GA13-06684S:GA ČR","LL1202:GA MŠk:CZ","","An Adaptive Multilevel Factorized Sparse Approximate Inverse Preconditioning","","approximate inverse - Gram–Schmidt orthogonalization - incomplete factorization - multilevel methods - preconditioned conjugate gradient method","This paper deals with adaptively preconditioned iterative methods for solving large and sparse systems of linear equations. In particular, the paper discusses preconditioning where adaptive dropping reflects the quality of preserving the relation UZ=I, where U and Z are the triangular factors of A and its inverse, respectively. The proposed strategy significantly extends and refines the previously developed approach, by using a specific multilevel framework. Numerical experiments with two levels demonstrate that the new preconditioning strategy is very promising. Namely, we show a surprising fact that in our approach the Schur complement is better to form in a more sophisticated way than by a standard sparse matrix-matrix multiplication.","","","BA","","inprint online","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2017","2018","","10.1016/j.advengsoft.2016.10.005","","","http://hdl.handle.net/11104/0270800","RVO:67985807","","","","","","","","","","",""
